Nodes,Degree_centrality,In_Degree,Out_Degree,Betweenness,KaztCentrality,Eigen_Centrality,Average_Centrality,Spread
KP_Aashish,0.004156275976724855,0.0,0.004156275976724855,0.0,0.025910896007466027,-2.305698448881562e-18,0.01002239066139696,0
IExist__Still,0.004156275976724855,0.0008312551953449709,0.0033250207813798837,6.915600626830041e-07,0.029051610669541417,3.73666589301054e-18,0.01106952606877632,3
SevadalAS,0.004156275976724855,0.0008312551953449709,0.0033250207813798837,2.0746801880490122e-06,0.028501985608212634,2.6391038934882545e-18,0.010886778755041846,1
Sunilrane_bjp,0.004156275976724855,0.0,0.004156275976724855,0.0,0.025910896007466027,1.1343684190804629e-17,0.01002239066139696,0
NilanjanDasAITC,0.013300083125519535,0.0,0.013300083125519535,0.0,0.025910896007466027,-4.77634287712958e-19,0.013070326377661853,0
UdayanTMC,0.005818786367414797,0.0,0.005818786367414797,0.0,0.025910896007466027,-6.261820957673342e-19,0.010576560791626942,0
AgrahariSushila,0.010806317539484621,0.0,0.010806317539484621,0.0,0.025910896007466027,-8.508965393824016e-18,0.012239071182316883,0
NYTraveler2,0.00831255195344971,0.0,0.00831255195344971,0.0,0.025910896007466027,3.150870781909989e-18,0.011407815986971914,0
Sunilrane_bjp.1,0.004987531172069825,0.0,0.004987531172069825,0.0,0.025910896007466027,-3.642927588638535e-18,0.01029947572651195,0
OfficeofSSC,0.020781379883624274,0.0,0.020781379883624274,0.0,0.025910896007466027,1.9600974115794575e-18,0.015564091963696769,0
RajaBrar_INC,0.013300083125519535,0.0,0.013300083125519535,0.0,0.025910896007466027,-5.508870328285676e-19,0.013070326377661853,0
abhaysinhbjp,0.00914380714879468,0.0,0.00914380714879468,0.0,0.025910896007466027,-1.0920339388409287e-18,0.011684901052086902,0
AITCofficial,0.013300083125519535,0.0016625103906899418,0.011637572734829594,2.351304213122214e-05,0.03135218416903389,6.3618921577242185e-18,0.01489192677889488,4
wesaidwhatnow,0.004987531172069825,0.0,0.004987531172069825,0.0,0.025910896007466027,5.7596572681206326e-18,0.01029947572651195,0
AlkeshAmin912,0.007481296758104738,0.0016625103906899418,0.005818786367414797,5.532480501464033e-06,0.03140714667257568,8.4847234527152175e-19,0.012964658637060629,2
IExist__Still.1,0.004156275976724855,0.0,0.004156275976724855,0.0,0.025910896007466027,-4.395572446349572e-18,0.01002239066139696,0
ajayjamwalbjp,0.01662510390689942,0.0,0.01662510390689942,0.0,0.025910896007466027,3.436968078566341e-18,0.014178666638121817,0
devusinh,0.013300083125519535,0.0,0.013300083125519535,0.0,0.025910896007466027,5.36255134635882e-19,0.013070326377661853,0
pankajt0007,0.005818786367414797,0.0,0.005818786367414797,0.0,0.025910896007466027,-2.2611468593154196e-19,0.010576560791626942,0
vjbandarubjp,0.004156275976724855,0.0,0.004156275976724855,0.0,0.025910896007466027,-8.131444164507013e-19,0.01002239066139696,0
VPSingh_Pilania,0.0033250207813798837,0.0,0.0033250207813798837,0.0,0.025910896007466027,5.247891078471816e-18,0.00974530559628197,0
coolsandira2,0.007481296758104738,0.0,0.007481296758104738,0.0,0.025910896007466027,1.9386127715998892e-19,0.011130730921856923,0
Anonymo05922755,0.00997506234413965,0.0,0.00997506234413965,0.0,0.025910896007466027,5.731585502693034e-20,0.011961986117201893,0
Bhagwa_95,0.007481296758104738,0.0,0.007481296758104738,0.0,0.025910896007466027,-1.5784805491943914e-18,0.011130730921856923,0
SunilKothiyal6,0.01662510390689942,0.0,0.01662510390689942,0.0,0.025910896007466027,-2.0957457815313412e-20,0.014178666638121817,0
KavinderGupta,0.010806317539484621,0.0,0.010806317539484621,0.0,0.025910896007466027,9.414036007124135e-19,0.012239071182316883,0
KarmaaaInstant,0.007481296758104738,0.0,0.007481296758104738,0.0,0.025910896007466027,-1.0336158196728496e-18,0.011130730921856923,0
NirmalSinghBJP,0.005818786367414797,0.0,0.005818786367414797,0.0,0.025910896007466027,4.968524482207301e-18,0.010576560791626942,0
ProfSRK,0.017456359102244388,0.0,0.017456359102244388,0.0,0.025910896007466027,2.9126679201199418e-18,0.014455751703236805,0
Hyndavitreddy,0.005818786367414797,0.0,0.005818786367414797,0.0,0.025910896007466027,-5.9548776041231345e-18,0.010576560791626942,0
HiiHyderabad,0.00997506234413965,0.0,0.00997506234413965,0.0,0.025910896007466027,3.825880218323244e-18,0.011961986117201893,0
sambarakathali,0.006650041562759767,0.0,0.006650041562759767,0.0,0.025910896007466027,-7.82593179538073e-18,0.010853645856741931,0
vaidicphysics,0.014962593516209476,0.0,0.014962593516209476,0.0,0.025910896007466027,6.859942591027301e-18,0.013624496507891834,0
pesutamizhapesu,0.014131338320864505,0.0,0.014131338320864505,0.0,0.025910896007466027,2.7098800066466695e-19,0.013347411442776845,0
pesutamizhapesu.1,0.006650041562759767,0.0,0.006650041562759767,0.0,0.025910896007466027,4.2763093343515914e-18,0.010853645856741931,0
SevadalTN,0.014131338320864505,0.0,0.014131338320864505,0.0,0.025910896007466027,-1.1007259677358924e-18,0.013347411442776845,0
SomaDeb70842724,0.010806317539484621,0.0,0.010806317539484621,0.0,0.025910896007466027,4.287008274111882e-20,0.012239071182316883,0
kanaksa75284219,0.006650041562759767,0.0,0.006650041562759767,0.0,0.025910896007466027,1.7659336383786164e-18,0.010853645856741931,0
DidiForPM,0.12468827930174564,0.0008312551953449709,0.12385702410640066,0.00010788336977854864,0.028501985608212634,-5.615665671002624e-19,0.05109938275991227,1
ARYNEWSOFFICIAL,0.027431421446384042,0.0008312551953449709,0.02660016625103907,2.212992200585613e-05,0.028501985608212634,5.82240226438545e-18,0.018651845658867513,1
NH_India,0.01828761429758936,0.0,0.01828761429758936,0.0,0.025910896007466027,-2.4026291043601975e-18,0.014732836768351796,0
newsonepk,0.012468827930174564,0.0,0.012468827930174564,0.0,0.025910896007466027,-4.0803511512604265e-19,0.012793241312546865,0
siasatpk,0.03158769742310889,0.0,0.03158769742310889,0.0,0.025910896007466027,-2.2739454024442543e-18,0.019166197810191642,0
PradzWorLd,0.005818786367414797,0.0008312551953449709,0.004987531172069825,4.1493603760980244e-06,0.028501985608212634,-6.161324599532432e-20,0.011441640445334508,1
SaimaMohsin,0.010806317539484621,0.0,0.010806317539484621,0.0,0.025910896007466027,-4.7281886346995e-18,0.012239071182316883,0
saf_najum,0.01662510390689942,0.0,0.01662510390689942,0.0,0.025910896007466027,-7.653801567626084e-18,0.014178666638121817,0
athiyamnews,0.004987531172069825,0.0,0.004987531172069825,0.0,0.025910896007466027,2.2517375534537476e-18,0.01029947572651195,0
nakkheeranweb,0.021612635078969242,0.0,0.021612635078969242,0.0,0.025910896007466027,-9.42393913885716e-19,0.015841177028811756,0
vaidicphysics.1,0.004987531172069825,0.0,0.004987531172069825,0.0,0.025910896007466027,7.08099631419203e-18,0.01029947572651195,0
mediyaannews,0.004987531172069825,0.0,0.004987531172069825,0.0,0.025910896007466027,-8.196658466531453e-19,0.01029947572651195,0
krishnagahlawat,0.046550290939318374,0.0,0.046550290939318374,0.0,0.025910896007466027,-5.36902198576066e-18,0.024153728982261466,0
EconomicTimes,0.046550290939318374,0.0,0.046550290939318374,0.0,0.025910896007466027,7.881925553624293e-20,0.024153728982261466,0
peenaz_tyagi,0.017456359102244388,0.0,0.017456359102244388,0.0,0.025910896007466027,5.24090902106824e-19,0.014455751703236805,0
gauravsarjerao,0.004156275976724855,0.0,0.004156275976724855,0.0,0.025910896007466027,3.976903241636205e-19,0.01002239066139696,0
ModiforPMOrg,0.004156275976724855,0.0,0.004156275976724855,0.0,0.025910896007466027,-1.6436058279862415e-18,0.01002239066139696,0
